time	ntp_time	seq_number	A1	A2	A3	A4	A5	A6	A7	AT	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	BT	D1	D2	D3	D4	D5	D6	D7	DT	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	ET	TempArmário
0.098	2023-05-16 11:49:04	60.0	139.62	167.85	138.36	144.93	109.56	162.94	77.06	25.98	117.06	122.11	61.93	156.58	148.88	156.64	91.73	147.44	30.84	37.96	109.7	114.17	174.63	107.36	105.79	25.58	72.14	156.88	138.55	11.14	67.6	-75.18	303.02	24.88	90.35	74.34	30.97	163.35	135.33	92.81	98.37	71.13	6.467	-57.0	-23.4	57.95	60.68	109.36	334.07	24.68	1525.2
0.1	2023-05-16 11:49:04	60.0	139.21	169.07	138.15	144.32	108.77	163.14	77.26	25.91	117.47	121.6	60.6	156.58	150.6	157.95	91.43	149.84	31.83	37.86	109.3	114.37	174.04	107.16	105.5	25.7	72.75	157.49	137.95	9.932	67.4	-75.38	302.83	24.8	90.55	74.65	30.46	164.06	134.82	93.21	98.67	72.03	7.462	-56.6	-23.69	58.25	60.39	109.16	333.68	24.79	1525.2
0.102	2023-05-16 11:49:04	60.0	139.42	168.06	137.45	145.43	108.37	162.94	76.47	25.96	116.85	121.8	61.32	157.29	149.59	157.45	91.93	150.04	30.54	37.27	109.7	113.19	173.84	107.65	106.38	25.63	72.75	157.9	137.95	10.33	67.4	-75.18	302.83	24.87	90.65	75.06	31.78	162.95	135.23	92.6	98.17	71.73	7.362	-56.8	-23.89	57.66	61.27	109.16	334.46	24.73	1525.2
0.104	2023-05-16 11:49:04	60.0	139.72	167.75	137.95	145.03	109.36	162.94	78.24	25.91	116.65	121.09	61.42	156.08	149.29	157.65	91.33	149.44	30.94	37.47	109.9	113.58	173.26	108.53	105.4	25.75	72.14	157.49	138.05	10.93	67.8	-74.19	302.73	24.8	90.86	74.34	31.17	163.86	135.33	93.61	99.28	70.83	6.865	-57.39	-21.92	56.67	60.97	108.97	333.88	24.78	1525.2
0.106	2023-05-16 11:49:04	110.0	139.42	168.26	138.15	143.92	109.26	162.45	77.65	25.96	116.65	122.72	61.83	156.68	149.59	157.75	92.13	148.44	30.74	37.27	109.5	114.17	173.26	109.7	105.6	25.75	72.75	156.88	137.85	11.14	68.4	-75.38	303.02	24.87	90.14	74.96	30.97	162.84	135.23	92.4	97.47	70.43	7.064	-57.99	-23.2	57.95	60.97	111.12	333.49	24.78	1525.2
0.108	2023-05-16 11:49:04	110.0	140.03	168.67	138.96	145.23	109.26	162.55	77.36	25.88	117.37	120.68	60.81	155.97	150.1	157.45	91.53	149.14	31.73	37.27	108.51	114.56	174.63	108.72	106.18	25.65	73.98	157.08	138.45	10.33	67.2	-74.79	303.02	24.87	90.14	73.63	30.77	163.45	134.72	92.81	98.07	70.23	7.163	-56.6	-25.08	58.25	60.39	109.07	333.49	24.74	1525.2
0.11	2023-05-16 11:49:04	110.0	140.03	168.26	137.95	144.73	107.77	163.54	77.55	25.93	117.06	121.39	61.42	156.58	149.89	158.45	92.33	147.84	30.94	37.86	108.91	114.37	173.65	107.36	105.21	25.53	73.37	156.88	138.65	11.14	68.8	-74.09	302.33	24.83	90.35	74.34	32.19	163.25	135.33	92.2	97.47	71.13	7.86	-57.59	-24.68	58.54	60.97	109.26	333.19	24.63	1525.2
0.112	2023-05-16 11:49:04	110.0	139.42	167.04	138.25	145.63	108.17	163.64	77.65	25.91	116.96	120.47	61.22	155.57	148.78	158.05	91.03	148.74	31.14	37.27	109.11	113.58	174.24	107.94	105.11	25.8	73.37	156.27	138.45	10.93	67.8	-75.68	302.83	24.8	90.45	75.26	29.95	163.35	134.52	92.5	99.48	70.73	7.661	-56.8	-23.79	58.15	61.07	109.26	334.26	24.9	1525.2
0.114	2023-05-16 11:49:04	110.0	139.42	168.16	137.24	145.53	110.16	162.25	77.45	25.92	116.65	120.47	60.2	155.47	148.88	158.05	91.23	148.84	31.63	37.47	109.11	114.27	174.04	107.94	106.57	25.87	73.37	156.68	137.44	10.53	66.9	-74.69	301.84	24.78	90.35	73.32	31.38	164.06	135.33	92.2	99.08	71.43	7.163	-56.4	-23.5	57.85	59.6	109.36	332.12	24.9	1525.2
0.116	2023-05-16 11:49:04	110.0	140.03	168.26	138.76	145.23	109.36	163.34	77.36	25.88	116.44	122.11	61.32	157.29	149.89	157.65	91.03	150.04	30.94	37.67	109.3	113.88	173.84	108.53	106.18	25.78	73.98	157.19	138.55	12.34	67.2	-75.18	301.84	24.9	90.35	75.06	30.77	164.06	134.62	92.4	98.17	70.53	7.263	-56.6	-22.9	58.34	59.8	108.68	334.26	24.87	1525.2
